CMDLINE /anaconda/envs/dlml/bin/python survival_analysis_kfoldCV.py
MEM 0.628906 1703106708.5273
MEM 25.546875 1703106708.6276
MEM 38.703125 1703106708.7280
MEM 61.218750 1703106708.8283
MEM 77.820312 1703106708.9285
MEM 90.816406 1703106709.0289
MEM 96.125000 1703106709.1292
MEM 98.941406 1703106709.2294
MEM 100.480469 1703106709.3297
MEM 114.394531 1703106709.4300
MEM 130.484375 1703106709.5304
MEM 144.726562 1703106709.6307
MEM 155.710938 1703106709.7311
MEM 166.015625 1703106709.8314
MEM 167.601562 1703106709.9318
MEM 164.859375 1703106710.0322
